Time,Hostname,Platfrom,Encoding,Resultaat,Processen,Services,CPU Usage,RAM %,RAM Geheugen Vrij,RAM gebeugen Usage,RAM totaal,IP,HDD ruimte,System Uptime
2015-12-27 16:38:01,Roadrunner,,ascii,8888,,"236
",21.1,47.1,8.405017852783203,7.479282379150391,15.89107894897461,192.168.1.147,22.993083953857422,17.388476388888886
2015-12-27 16:38:39,Roadrunner,,ascii,8888,,"236
",21.2,47.1,8.411514282226562,7.4781494140625,15.89107894897461,192.168.1.147,22.992691040039062,17.3990625
2015-12-27 16:40:16,Roadrunner,,ascii,8888,,"236
",17.8,47.0,8.402793884277344,7.465354919433594,15.89107894897461,192.168.1.147,22.992488861083984,17.425733333333334
2015-12-27 16:41:48,Roadrunner,,ascii,8888,,"236
",19.6,46.9,8.444400787353516,7.444995880126953,15.89107894897461,192.168.1.147,22.99175262451172,17.451349722222222
2015-12-27 16:43:46,Roadrunner,,ascii,8888,,"236
",24.1,47.3,8.352020263671875,7.540412902832031,15.89107894897461,192.168.1.147,22.992164611816406,17.484123055555553
2015-12-27 16:45:15,Roadrunner,,ascii,8888,,"236
",25.3,47.5,8.361221313476562,7.526390075683594,15.89107894897461,192.168.1.147,22.991474151611328,17.508949444444447
2015-12-27 16:45:49,Roadrunner,,ascii,8888,,"236
",25.2,47.4,8.366615295410156,7.547447204589844,15.89107894897461,192.168.1.147,22.991416931152344,17.51836805555556
2015-12-27 16:46:23,Roadrunner,,ascii,8888,,"236
",24.6,47.4,8.359634399414062,7.531848907470703,15.89107894897461,192.168.1.147,22.990795135498047,17.5278775
2015-12-27 16:46:43,Roadrunner,,ascii,8888,,"236
",27.3,47.4,8.358917236328125,7.5316619873046875,15.89107894897461,192.168.1.147,22.990753173828125,17.533281111111112
2016-01-06 12:58:28,Roadrunner,win32,ascii,8888,,"235
",23.0,85.9,2.2391357421875,13.653671264648438,15.89107894897461,192.168.1.147,3.2641258239746094,2.8593055555555558
